COURSE_NO,COURSE_CODE,COURSE_NAME,COURSE_SECTION,COURSE_TYPE,COURSE_DAY,COURSE_STARTTIME,COURSE_ENDTIME,ROOM_BUILDING,ROOM_CODE,ENROLL,CAPACITY
1,2301108,CALCULUS II,1,LECT,WE,08:00,09:30,ENG1,113,140,240
2,2301108,CALCULUS II,1,LECT,FR,09:30,11:00,ENG1,113,140,255
3,2301108,CALCULUS II,2,LECT,WE,08:00,09:30,ENG1,302,155,235
4,2301108,CALCULUS II,2,LECT,FR,09:30,11:00,ENG1,302,155,255
5,2301108,CALCULUS II,3,LECT,MO,08:00,09:30,ENG1,113,140,155
6,2301108,CALCULUS II,3,LECT,WE,09:30,11:00,ENG1,113,140,210
7,2301108,CALCULUS II,4,LECT,MO,08:00,09:30,ENG1,302,160,270
8,2301108,CALCULUS II,4,LECT,WE,09:30,11:00,ENG1,302,160,290
9,2301108,CALCULUS II,5,LECT,MO,09:30,11:00,ENG1,113,140,260
10,2301108,CALCULUS II,5,LECT,FR,08:00,09:30,ENG1,113,140,265
11,2301108,CALCULUS II,6,LECT,MO,09:30,11:00,ENG1,302,150,215
12,2301108,CALCULUS II,6,LECT,FR,08:00,09:30,ENG1,302,150,285
13,2301207,CALCULUS III,1,LECT,TU,13:00,15:00,ENG3,415,100,195
14,2301207,CALCULUS III,1,LECT,TH,12:00,13:00,ENG3,415,100,110
15,2301312,DIFF EQUATIONS,3,LECT,MO,11:00,12:30,ENG3,317,100,180
16,2301317,METH APP MATH,1,LECT,MO,09:30,11:00,ENG3,401,120,145
17,2302127,GEN CHEM,1,LECT,MO,09:30,11:00,ENG3,117,270,375
18,2302127,GEN CHEM,1,LECT,FR,08:00,09:30,ENG3,117,270,485
19,2302127,GEN CHEM,2,LECT,MO,08:00,09:30,ENG3,415,180,215
20,2302127,GEN CHEM,2,LECT,WE,09:30,11:00,ENG3,415,180,260
21,2306250,PHY CHEM MEAS I,1,LAB,MO,13:00,16:00,CHEMT,204,40,55
22,2306250,PHY CHEM MEAS I,2,LAB,TH,13:00,16:00,CHEMT,204,40,75
23,2306320,EQUILISTAGED SEP,1,LECT,MO,10:00,11:00,CHEMT,328,70,85
24,2306320,EQUILISTAGED SEP,1,LECT,FR,09:00,11:00,CHEMT,328,70,140
25,2306332,HEAT MASS TRANS,1,LECT,TU,10:00,12:00,CHEMT,328,70,80
26,2306332,HEAT MASS TRANS,1,LECT,WE,09:00,11:00,CHEMT,328,70,75
27,2306350,UNIT OP LAB I,1,LAB,MO,13:00,16:00,CHEMT,121,40,45
28,2306350,UNIT OP LAB I,2,LAB,TH,13:00,16:00,CHEMT,121,40,65
29,2306426,FUND TRANS PHENOM,1,LECT,MO,08:00,10:00,CHEMT,322,20,35
30,2306522,APPLIED ELECTROCH,1,LECT,WE,08:00,10:00,CHEMT,322,20,25
31,2306532,GEN UNIT OPERATION,1,LECT,TU,10:00,11:00,CHEMT,322,45,55
